version,case,optimization,result,decorated_load_pointers,storage_buffer_nonuniform_capability,spirv_val_exit
2026.18.1,byte_helper_index,-O3,correct,1,True,0
2026.18.1,byte_templated_local,-O0,correct,1,True,0
2026.18.1,byte_templated_local,-O3,correct,1,True,0
2026.18.1,structured_direct,-O0,correct,1,True,0
2026.18.1,structured_direct,-O3,correct,1,True,0
2026.18.1,structured_local,-O0,correct,1,True,0
2026.18.1,structured_local,-O3,correct,1,True,0
2026.18.1,rwbyte_local,-O0,correct,1,True,0
2026.18.1,rwbyte_local,-O3,correct,1,True,0
2026.18.1,byte_helper_annotated_arg,-O0,missing_both,0,False,0
2026.18.1,byte_helper_annotated_arg,-O3,missing_both,0,False,0
2026.18.1,byte_index_rewrapped,-O0,correct,1,True,0
2026.18.1,byte_index_rewrapped,-O3,correct,1,True,0
2026.18.1,fixed_byte_local,-O0,correct,1,True,0
2026.18.1,fixed_byte_local,-O3,correct,1,True,0
2026.18.1,fixed_byte_direct,-O0,correct,1,True,0
2026.18.1,fixed_byte_direct,-O3,correct,1,True,0
2026.18.1,byte_uniform,-O0,uniform_control,0,False,0
2026.18.1,byte_uniform,-O3,uniform_control,0,False,0
2026.18.1,byte_noinline_arg,-O0,missing_both,0,False,0
2026.18.1,byte_noinline_arg,-O3,missing_both,0,False,0
2026.18.1,byte_noinline_inside,-O0,correct,1,True,0
2026.18.1,byte_noinline_inside,-O3,correct,1,True,0
2026.18.1,arithmetic_add,-O0,correct,1,True,0
2026.18.1,arithmetic_add,-O3,correct,1,True,0
2026.18.1,arithmetic_subtract,-O0,correct,1,True,0
2026.18.1,arithmetic_subtract,-O3,correct,1,True,0
2026.18.1,arithmetic_multiply,-O0,correct,1,True,0
2026.18.1,arithmetic_multiply,-O3,correct,1,True,0
2026.18.1,arithmetic_divide,-O0,correct,1,True,0
2026.18.1,arithmetic_divide,-O3,correct,1,True,0
2026.18.1,arithmetic_modulo,-O0,correct,1,True,0
2026.18.1,arithmetic_modulo,-O3,correct,1,True,0
2026.18.1,arithmetic_shift_left,-O0,correct,1,True,0
2026.18.1,arithmetic_shift_left,-O3,correct,1,True,0
2026.18.1,arithmetic_shift_right,-O0,correct,1,True,0
2026.18.1,arithmetic_shift_right,-O3,correct,1,True,0
2026.18.1,arithmetic_bit_and,-O0,correct,1,True,0
2026.18.1,arithmetic_bit_and,-O3,correct,1,True,0
2026.18.1,arithmetic_bit_or,-O0,correct,1,True,0
2026.18.1,arithmetic_bit_or,-O3,correct,1,True,0
2026.18.1,arithmetic_bit_xor,-O0,correct,1,True,0
2026.18.1,arithmetic_bit_xor,-O3,correct,1,True,0
2026.18.1,arithmetic_bit_not,-O0,correct,1,True,0
2026.18.1,arithmetic_bit_not,-O3,correct,1,True,0
2026.18.1,arithmetic_negate,-O0,correct,1,True,0
2026.18.1,arithmetic_negate,-O3,correct,1,True,0
2026.18.3,byte_direct,-O0,correct,1,True,0
2026.18.3,byte_direct,-O3,correct,1,True,0
2026.18.3,byte_local,-O0,correct,1,True,0
2026.18.3,byte_local,-O3,correct,1,True,0
2026.18.3,byte_index_local,-O0,correct,1,True,0
2026.18.3,byte_index_local,-O3,correct,1,True,0
2026.18.3,byte_param,-O0,correct,1,True,0
2026.18.3,byte_param,-O3,correct,1,True,0
2026.18.3,byte_return,-O0,correct,1,True,0
2026.18.3,byte_return,-O3,correct,1,True,0
2026.18.3,byte_helper_index,-O0,correct,1,True,0
2026.18.3,byte_helper_index,-O3,correct,1,True,0
2026.18.3,byte_templated_local,-O0,correct,1,True,0
2026.18.3,byte_templated_local,-O3,correct,1,True,0
2026.18.3,structured_direct,-O0,correct,1,True,0
2026.18.3,structured_direct,-O3,correct,1,True,0
2026.18.3,structured_local,-O0,correct,1,True,0
2026.18.3,structured_local,-O3,correct,1,True,0
2026.18.3,rwbyte_local,-O0,correct,1,True,0
2026.18.3,rwbyte_local,-O3,correct,1,True,0
2026.18.3,byte_helper_annotated_arg,-O0,missing_both,0,False,0
2026.18.3,byte_helper_annotated_arg,-O3,missing_both,0,False,0
2026.18.3,byte_index_rewrapped,-O0,correct,1,True,0
2026.18.3,byte_index_rewrapped,-O3,correct,1,True,0
2026.18.3,fixed_byte_local,-O0,correct,1,True,0
2026.18.3,fixed_byte_local,-O3,correct,1,True,0
2026.18.3,fixed_byte_direct,-O0,correct,1,True,0
2026.18.3,fixed_byte_direct,-O3,correct,1,True,0
2026.18.3,byte_uniform,-O0,uniform_control,0,False,0
2026.18.3,byte_uniform,-O3,uniform_control,0,False,0
2026.18.3,byte_noinline_arg,-O0,missing_both,0,False,0
2026.18.3,byte_noinline_arg,-O3,missing_both,0,False,0
2026.18.3,byte_noinline_inside,-O0,correct,1,True,0
2026.18.3,byte_noinline_inside,-O3,correct,1,True,0
2026.18.3,arithmetic_add,-O0,correct,1,True,0
2026.18.3,arithmetic_add,-O3,correct,1,True,0
2026.18.3,arithmetic_subtract,-O0,correct,1,True,0
2026.18.3,arithmetic_subtract,-O3,correct,1,True,0
2026.18.3,arithmetic_multiply,-O0,correct,1,True,0
2026.18.3,arithmetic_multiply,-O3,correct,1,True,0
2026.18.3,arithmetic_divide,-O0,correct,1,True,0
2026.18.3,arithmetic_divide,-O3,correct,1,True,0
2026.18.3,arithmetic_modulo,-O0,correct,1,True,0
2026.18.3,arithmetic_modulo,-O3,correct,1,True,0
2026.18.3,arithmetic_shift_left,-O0,correct,1,True,0
2026.18.3,arithmetic_shift_left,-O3,correct,1,True,0
2026.18.3,arithmetic_shift_right,-O0,correct,1,True,0
2026.18.3,arithmetic_shift_right,-O3,correct,1,True,0
2026.18.3,arithmetic_bit_and,-O0,correct,1,True,0
2026.18.3,arithmetic_bit_and,-O3,correct,1,True,0
2026.18.3,arithmetic_bit_or,-O0,correct,1,True,0
2026.18.3,arithmetic_bit_or,-O3,correct,1,True,0
2026.18.3,arithmetic_bit_xor,-O0,correct,1,True,0
2026.18.3,arithmetic_bit_xor,-O3,correct,1,True,0
2026.18.3,arithmetic_bit_not,-O0,correct,1,True,0
2026.18.3,arithmetic_bit_not,-O3,correct,1,True,0
2026.18.3,arithmetic_negate,-O0,correct,1,True,0
2026.18.3,arithmetic_negate,-O3,correct,1,True,0
